GA,vae-zinc-s,lstm-zinc,lstm-chembl,zinc,real,chembl,cnpd,cortellis-drugs
0.273,0.5,0.778,0.44,0.278,0.25,0.238,0.824,0.071
0.235,0.353,0.368,0.481,0.462,0.6,0.303,0.231,0.7
0.571,0.333,0.524,0.5,0.579,0.467,0.412,0.188,0.368
0.643,0.2,0.571,0.19,0.385,0.812,0.217,0.4,0.455
0.444,0.316,1.0,0.176,0.412,0.929,0.227,0.167,0.364
0.2,0.316,0.368,0.158,0.786,0.875,0.148,1.0,0.263
0.071,0.429,0.692,0.353,0.5,0.647,0.333,0.625,0.263
0.353,0.571,0.421,0.5,0.533,0.5,0.05,1.0,0.812
0.7,0.462,0.2,0.259,0.895,0.611,0.278,0.25,0.444
0.364,0.083,0.5,0.267,0.647,0.889,0.278,0.867,0.405
0.688,0.429,0.467,0.115,0.688,0.667,0.391,0.667,0.6
0.5,0.647,0.6,0.222,0.562,0.286,0.176,0.867,0.259
0.143,0.2,0.611,0.391,0.435,0.812,0.308,0.7,0.611
0.615,0.364,0.385,0.294,0.316,0.562,0.1,0.714,0.875
0.462,0.6,0.6,0.133,0.5,0.25,0.318,0.857,0.355
0.368,0.269,0.571,0.278,0.5,0.5,0.552,0.72,0.333
0.7,0.5,0.5,0.059,0.769,0.5,0.333,0.3,0.273
0.222,0.375,0.905,0.286,0.5,0.357,0.286,0.583,0.263
0.182,0.333,0.526,0.2,0.5,0.467,0.172,0.188,0.5
0.474,0.471,0.765,0.0,0.522,1.0,0.133,0.176,1.0
0.667,0.417,0.083,0.4,0.417,0.636,0.091,0.222,0.161
0.6,0.429,0.4,0.154,0.458,0.647,0.133,0.8,0.308
0.357,0.5,0.526,0.0,0.35,0.625,0.304,0.714,0.3
0.438,0.538,0.526,0.458,0.556,0.556,0.389,0.3,0.45
0.5,0.5,0.688,0.412,0.625,0.579,0.16,0.7,0.5
0.75,0.375,0.385,0.294,0.522,0.333,0.519,0.091,0.5
0.2,0.308,0.476,0.278,0.643,0.538,0.179,0.222,0.2
0.267,0.571,0.556,0.138,0.45,0.789,0.176,0.0,0.533
0.462,0.538,0.929,0.2,0.423,0.706,0.238,0.333,0.364
0.421,0.316,0.474,0.0,0.385,0.889,0.462,0.655,0.458
0.55,0.667,0.385,0.25,0.348,0.467,0.16,0.381,0.304
0.364,0.615,0.286,0.385,0.588,0.867,0.345,0.3,0.25
0.125,0.75,0.917,0.053,0.35,0.267,0.417,0.231,0.211
0.353,0.154,0.905,0.333,0.579,0.636,0.5,0.7,0.25
0.429,0.167,0.571,0.364,0.579,0.5,0.318,0.222,0.609
0.476,0.462,0.611,0.176,0.647,0.562,0.259,0.5,0.294
0.231,0.263,0.5,0.045,0.917,0.471,0.522,0.188,0.273
0.643,0.077,0.85,0.273,0.65,0.412,0.0,0.36,0.435
0.562,0.048,0.478,0.533,0.5,0.588,0.625,0.292,0.5
0.333,0.2,0.708,0.111,0.571,0.5,0.4,0.5,0.6
0.75,0.25,0.65,0.273,0.5,0.5,0.2,0.65,0.3
0.7,0.667,0.625,0.318,0.8,0.529,0.385,0.25,0.667
0.267,0.2,0.154,0.333,0.4,0.333,0.613,0.533,0.333
0.417,0.286,0.368,0.227,0.9,0.5,0.533,0.214,1.0
0.5,0.222,0.611,0.381,0.611,0.562,0.3,0.733,0.381
0.5,0.278,0.467,0.043,0.688,0.706,0.118,1.0,0.167
0.5,0.444,0.429,0.833,0.842,0.7,0.667,0.167,0.308
0.438,0.333,0.294,0.091,0.588,0.316,0.148,0.692,0.778
0.294,0.3,0.5,0.3,0.579,0.421,0.276,0.2,0.308
0.294,0.278,0.278,0.095,0.545,0.867,0.318,0.062,0.556
0.6,0.6,0.471,0.043,0.588,0.938,0.333,1.0,0.417
0.6,0.111,0.824,0.769,0.909,0.533,0.188,0.261,0.167
0.357,0.2,0.55,0.211,0.5,0.35,0.0,0.556,0.478
0.786,0.133,0.471,0.5,0.579,0.8,0.318,0.062,0.467
0.462,0.545,0.312,0.056,0.526,0.391,0.457,0.867,0.333
0.235,0.133,0.438,0.2,0.438,0.435,0.097,0.778,0.208
0.438,0.286,0.429,0.355,0.533,0.5,0.381,0.6,0.231
0.538,1.0,0.611,0.75,0.333,0.933,0.345,0.333,0.314
0.462,0.267,0.64,0.118,0.333,0.3,0.478,0.467,0.7
0.538,0.25,0.438,0.421,0.611,0.353,0.158,0.125,0.438
0.316,0.882,0.6,0.607,0.25,0.619,0.933,0.316,0.278
0.462,0.5,0.391,0.067,0.412,0.6,0.947,0.294,0.167
0.471,0.333,0.412,0.182,0.333,0.667,0.467,0.625,0.667
0.474,0.368,0.652,0.158,0.458,0.421,0.133,0.4,0.68
0.231,0.167,0.167,0.267,0.385,0.533,0.294,0.308,0.12
0.583,0.375,0.286,0.294,0.15,0.35,0.321,0.412,0.458
0.438,0.75,0.385,0.16,0.333,0.556,0.077,0.353,0.0
0.389,0.36,0.611,0.429,0.533,0.333,0.167,0.15,0.208
0.333,0.312,0.444,0.355,0.667,0.526,0.143,0.8,1.0
0.5,0.5,0.474,0.333,0.409,0.235,0.333,0.316,0.118
0.25,0.273,0.526,0.083,0.429,0.65,0.35,0.222,0.5
0.333,0.05,0.176,0.273,0.333,0.667,0.522,0.042,0.4
0.647,0.412,0.375,0.417,0.0,0.562,0.36,0.55,1.0
0.429,0.5,0.059,0.381,0.611,0.5,0.429,0.786,0.316
0.417,0.273,0.533,0.333,0.167,0.455,0.652,0.438,0.227
0.412,0.2,0.857,0.182,0.3,0.412,0.545,0.35,0.25
0.5,0.235,0.938,0.217,0.588,0.526,0.37,0.583,0.125
0.818,0.35,0.267,0.375,0.75,0.929,0.235,1.0,0.423
0.312,0.9,0.842,0.826,0.308,0.238,0.267,0.059,0.526
0.25,1.0,0.133,0.514,0.263,0.6,0.13,0.556,0.286
0.556,0.364,0.706,0.192,0.533,0.444,0.136,0.286,0.294
0.286,0.438,0.562,0.0,0.571,0.318,0.733,0.632,0.474
0.333,0.5,0.636,0.471,0.409,0.842,0.429,0.4,0.417
0.143,0.111,0.625,0.278,0.7,0.412,0.19,0.25,0.375
0.357,0.455,0.476,0.188,0.375,0.889,0.346,0.062,0.381
0.611,1.0,0.833,0.25,0.304,0.429,0.346,0.278,0.1
0.1,0.136,0.882,0.533,0.333,0.421,0.077,0.423,0.0
0.222,0.125,0.458,0.29,0.579,0.5,0.438,0.75,0.25
0.75,0.429,0.625,0.556,0.611,0.316,0.4,0.211,0.417
0.538,0.5,0.375,0.409,0.647,0.2,0.263,0.889,0.467
0.4,0.357,0.375,0.048,0.4,0.417,0.2,0.35,0.407
0.231,0.667,0.682,0.44,0.222,0.2,0.353,0.28,0.312
0.571,0.438,0.611,0.2,0.579,0.5,0.5,0.188,0.621
0.538,0.444,0.389,0.611,0.5,0.5,0.5,0.889,0.25
0.833,0.3,0.222,0.344,0.583,0.5,0.412,0.32,0.281
0.889,0.462,0.737,0.185,0.333,0.688,0.37,0.55,0.423
0.4,0.312,0.35,0.167,0.714,0.529,0.35,0.5,0.368
0.2,0.273,0.4,0.458,0.278,0.579,0.167,0.333,0.381
0.571,0.429,0.867,0.294,0.133,0.133,0.282,0.722,0.5
0.462,0.222,0.526,0.0,0.444,0.429,0.609,1.0,0.25
0.5,0.444,0.381,0.346,0.45,0.389,0.2,0.571,0.5
0.625,0.385,0.238,0.643,0.412,0.667,0.154,0.275,0.231
0.364,0.4,0.6,0.278,0.579,0.261,0.125,0.667,0.429
0.467,0.292,0.737,0.409,0.75,0.417,0.056,0.16,0.067
0.474,0.211,0.176,0.391,0.588,0.389,0.824,0.19,0.294
