GA,vae-zinc-s,lstm-zinc,lstm-chembl,zinc,real,chembl,cnpd,cortellis-drugs
68.25,55.08,44.652,56.0,35.714,55.314,23.571,105.765,84.207
18.0,50.357,20.0,49.5,33.312,60.562,43.2,42.353,86.364
57.273,30.0,53.333,61.957,78.857,9.545,28.8,19.0,30.457
34.133,11.0,18.353,54.486,12.0,26.0,93.529,60.0,31.778
44.333,82.5,12.0,35.84,36.125,61.771,59.733,53.833,48.333
67.421,6.0,40.174,15.0,57.8,29.217,46.0,11.0,30.0
25.3,5.0,60.379,20.0,62.229,45.419,22.0,8.0,39.273
21.053,34.0,55.08,19.0,37.941,58.143,16.0,70.552,49.68
45.111,12.0,26.4,13.0,57.538,12.0,19.0,4.0,11.0
57.882,18.0,53.333,87.455,82.355,39.667,18.0,5.0,10.231
54.4,16.0,61.56,0.0,101.436,45.0,48.857,58.929,32.667
37.5,26.0,17.0,51.652,127.278,15.4,16.0,19.6,58.966
54.091,22.0,22.286,19.0,33.75,68.793,16.0,55.647,19.0
38.769,34.211,16.0,42.667,42.75,59.524,10.0,131.25,17.0
11.0,52.923,66.667,24.0,68.793,35.829,26.0,26.0,42.75
